PPO169760e0 TRAINING,,,,,,,,,,,,,,truck TO DQN TO PPO,Trailer to dQN TO PPO,,DQN a3962295b7,,,,,,,,
,route,roundabout,timesteps,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed,,,,,,,,,,route,roundabout,timesteps,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
11,97|95,16m,384.2,0,0,0.489048624038696,0.483103227615356,5,,,,,,-0.832950735092164,-0.774855184555053,,9,97|95,16m,375,0,0,1.32199935913086,1.25795841217041,5
46,96|94,50m,1052.8,0,0,0.679237842559814,0.418325614929199,5,,,,,,-0.644007873535156,-0.651582241058351,,46,96|94,50m,1031,0,0,1.32324571609497,1.06990785598755,5
25,96|76,50m,727.6,0,0,0.651488351821899,0.39632682800293,5,,,,,,-0.36152148246765,-0.370741653442382,,24,96|76,50m,704.8,0,0,1.01300983428955,0.767068481445312,5
23,96|26,50m,439.4,0,0,0.45171594619751,0.35987606048584,5,,,,,,-0.101010036468506,-0.227559280395508,,23,96|26,50m,413.8,0,0,0.552725982666016,0.587435340881348,5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
8,66|67,32m,769,0,0,0.696417856216431,0.527872848510742,5,,,,,,-0.541674470901489,-0.509318161010738,,10,66|67,32m,762.8,0,0,1.23809232711792,1.03719100952148,5
10,66|46,32m,618,0,0,0.53598165512085,0.399145364761352,5,,,,,,-0.86251230239868,-0.961322164535527,,12,66|46,32m,593.2,0,0,1.39849395751953,1.36046752929688,5
50,61|95,16m,313.8,0,0,0.730648231506348,0.375294733047485,5,,,,,,-0.951400375366212,-0.904984235763555,,50,61|95,16m,313,0,0,1.68204860687256,1.28027896881104,5
51,61|42,16m,268.8,2,0,0.521748638153076,0.47883734703064,3,,,,,,-0.633126163482664,-0.7978166103363,,51,61|42,16m,307.2,0,0,1.15487480163574,1.27665395736694,5
47,58|74,50m,609.4,0,0,0.46582145690918,0.519928741455078,5,,,,,,-1.09809188842773,-1.1104887008667,,47,58|74,50m,588.2,0,0,1.56391334533691,1.63041744232178,5
26,58|111,50m,331,0,0,0.610989332199097,0.400386953353882,5,,,,,,-1.14018864631653,-1.07129511833191,,26,58|111,50m,324.4,0,0,1.75117797851563,1.47168207168579,5
44,55|94,50m,930.6,0,0,0.625629901885986,0.430129957199097,5,,,,,,-0.590121746063234,-0.595712518692013,,44,55|94,50m,907.4,0,0,1.21575164794922,1.02584247589111,5
48,55|76,50m,599.2,0,0,0.544988203048706,0.393236756324768,5,,,,,,-0.250831270217896,-0.262122321128845,,48,55|76,50m,578.8,0,0,0.795819473266602,0.655359077453613,5
45,55|105,50m,976.2,0,0,0.833542442321777,0.48737359046936,5,,,,,,-0.576401805877683,-0.57694516181946,,45,55|105,50m,950.8,0,0,1.40994424819946,1.06431875228882,5
1,5|67,32m,878.4,0,0,0.605796051025391,0.580410957336426,5,,,,,,-0.480945587158199,-0.537548732757564,,5,5|67,32m,860.8,0,0,1.08674163818359,1.11795969009399,5
,,,,,,,,,,,,,,,,,,,,,,,,,
9,5|41,16m,354.4,0,0,0.418390417098999,0.556198596954346,5,,,,,,-0.378497934341431,-0.380030059814453,,8,5|41,16m,338.4,0,0,0.79688835144043,0.936228656768799,5
,,,,,,,,,,,,,,,,,,,,,,,,,
2,40|42,16m,198.4,0,0,0.529066514968872,0.208633422851562,5,,,,,,-1.03622641563416,-0.656054401397706,,1,40|42,16m,206.6,0,0,1.56529293060303,0.864687824249268,5
3,40|10,16m,372.2,0,0,0.427607250213623,0.351171326637268,5,,,,,,-0.564944934844971,-0.531827330589294,,2,40|10,16m,357.6,0,0,0.992552185058594,0.882998657226562,5
18,4|64,32m,715,0,0,0.652715253829956,0.377344679832458,5,,,,,,-0.086224842071533,-0.122135758399964,,19,4|64,32m,689.4,0,0,0.738940095901489,0.499480438232422,5
