route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
18|17,229,False,False,False,False,True,0.7683944279046393,False
4|14,226,False,False,False,False,True,0.588783462293267,False
35|41,284,False,False,False,False,False,0.7306893166678171,True
4|14,225,False,False,False,False,True,0.590448687989626,False
35|41,284,False,False,False,False,False,0.7319587373412522,True
4|3,310,False,False,False,False,False,1.0325915648034085,True
18|67,588,False,False,False,False,False,1.288391605025814,True
26|3,612,False,False,False,False,True,0.8275933792049828,False
18|67,589,False,False,False,False,False,1.2545346572843508,True
4|3,307,False,False,False,False,False,1.0188809496010252,True
35|59,456,False,False,False,False,False,0.442470589773314,True
4|3,309,False,False,False,False,False,1.004873108566764,True
18|67,587,False,False,False,False,False,1.2594280960923343,True
4|63,227,False,False,False,False,True,0.5686539556852337,False
28|46,228,False,False,False,False,True,0.5558318566223501,False
4|63,228,False,False,False,False,True,0.5570295280237844,False
28|67,207,False,False,False,False,True,0.6709589346685932,False
4|14,228,False,False,False,False,True,0.5994120831451981,False
12|67,673,False,False,False,False,False,1.1233467342479393,True
4|63,229,False,False,False,False,True,0.5398263099503497,False
35|41,284,False,False,False,False,False,0.735774567630942,True
27|66,676,False,False,False,False,False,0.7328481545601622,True
69|50,568,False,False,False,False,False,0.6070040081006357,True
4|3,311,False,False,False,False,False,1.0107422669343793,True
28|46,229,False,False,False,False,True,0.5418639117987195,False
26|63,606,False,False,False,False,True,0.8264184288988983,False
69|50,570,False,False,False,False,False,0.583001400583347,True
27|66,676,False,False,False,False,False,0.730617906411622,True
28|17,481,False,False,False,False,False,1.3992776821870616,True
26|63,605,False,False,False,False,True,0.8686447704336006,False
28|67,213,False,False,False,False,True,0.6526012047376974,False
27|66,675,False,False,False,False,False,0.7366678841426663,True
69|50,570,False,False,False,False,False,0.5896295425655678,True
26|63,608,False,False,False,False,True,0.8622924239252354,False
35|41,284,False,False,False,False,False,0.7385687595879428,True
4|3,309,False,False,False,False,False,1.0456985707563404,True
35|41,284,False,False,False,False,False,0.7284167962019752,True
64|2,261,False,False,False,False,False,0.866350072289999,True
35|59,456,False,False,False,False,False,0.4345257232647417,True
4|14,224,False,False,False,False,True,0.6244125656039069,False
28|46,227,False,False,False,False,True,0.5436612361618879,False
26|3,608,False,False,False,False,True,0.7921792099883094,False
18|67,589,False,False,False,False,False,1.262547710718217,True
4|3,310,False,False,False,False,False,1.0376358537272161,True
12|67,672,False,False,False,False,False,1.1549985027890786,True
26|63,607,False,False,False,False,True,0.8422968950656551,False
28|67,207,False,False,False,False,True,0.6507111218965883,False
4|3,309,False,False,False,False,False,1.016232661462353,True
28|17,481,False,False,False,False,False,1.3970692467081705,True
4|3,309,False,False,False,False,False,1.026595177947149,True
28|46,229,False,False,False,False,True,0.5419255227086631,False
64|2,260,False,False,False,False,False,0.8844117055757207,True
28|17,481,False,False,False,False,False,1.4064430556069365,True
4|63,227,False,False,False,False,True,0.5746406104882901,False
28|17,480,False,False,False,False,False,1.3821503019359147,True
4|63,228,False,False,False,False,True,0.5627678885432065,False
28|46,228,False,False,False,False,True,0.5379002288283684,False
4|14,226,False,False,False,False,True,0.6102895007516377,False
18|17,220,False,False,False,False,True,0.7935830630231316,False
26|63,612,False,False,False,False,True,0.8547727689669146,False
28|67,215,False,False,False,False,True,0.6452603346476571,False
64|2,260,False,False,False,False,False,0.8835603469534196,True
28|17,480,False,False,False,False,False,1.3700578118100821,True
26|14,726,False,False,False,False,False,1.2310575033780788,True
35|41,285,False,False,False,False,False,0.756072708704963,True
26|3,612,False,False,False,False,True,0.818810513056671,False
28|46,231,False,False,False,False,True,0.5458147131023332,False
26|14,727,False,False,False,False,False,1.2232427052924595,True
18|67,589,False,False,False,False,False,1.2651393860333544,True
26|3,613,False,False,False,False,True,0.7756744140668758,False
18|67,588,False,False,False,False,False,1.246897176126315,True
4|63,230,False,False,False,False,True,0.5568507434271103,False
28|46,226,False,False,False,False,True,0.5345138879523056,False
4|14,226,False,False,False,False,True,0.6035589595824122,False
28|17,480,False,False,False,False,False,1.3794890849248875,True
26|14,727,False,False,False,False,False,1.1809967601671187,True
28|17,482,False,False,False,False,False,1.413908750465338,True
4|14,227,False,False,False,False,True,0.6140111015628552,False
28|46,230,False,False,False,False,True,0.5410266264383516,False
4|14,228,False,False,False,False,True,0.5862131861417018,False
35|59,456,False,False,False,False,False,0.42179675082941576,True
26|3,614,False,False,False,False,True,0.8080445106611788,False
18|17,228,False,False,False,False,True,0.7456740115641113,False
4|3,309,False,False,False,False,False,1.0229877151058588,True
12|67,674,False,False,False,False,False,1.1537940470876216,True
26|14,728,False,False,False,False,False,1.2124634617604335,True
28|46,231,False,False,False,False,True,0.5385111635456507,False
64|2,261,False,False,False,False,False,0.8852986837568754,True
35|59,457,False,False,False,False,False,0.40511317302503586,True
4|3,310,False,False,False,False,False,1.005190931688207,True
35|41,279,False,False,False,False,False,0.7400844501257127,True
